共青团中央官方报道我校农场劳动教育,http://www.scujcc.edu.cn/info/1076/5887.htm,2021-10-21
看了这些电影，锦城学子这么说,https://mp.weixin.qq.com/s/Par2UUfuLfEt9qVl_WY-Fw,2021-10-20
实践课程进校园 ———创意星球大讲堂精彩纷呈,http://www.scujcc.edu.cn/info/1076/5885.htm,2021-10-20
40个世界顶级教师的教学建议,http://www.scujcc.edu.cn/info/1076/5884.htm,2021-10-19
锦城“析光”团队荣获挑战杯“黑科技”专项赛国奖！,https://mp.weixin.qq.com/s/cq1E-gZwqYBrOFZaDgnLsA,2021-10-19
中国日报“媒介推广宣讲活动”走进我校,http://www.scujcc.edu.cn/info/1076/5880.htm,2021-10-19
@大学生，这几件事，在大学千万别做！,https://mp.weixin.qq.com/s/OW54lU5SkDab2PBSS_7VBQ,2021-10-18
百名校友导学团在2021级新生入学教育上的报告节选（二）,http://www.scujcc.edu.cn/info/1076/5877.htm,2021-10-18
关于​开通学生自主办理火车票优惠卡写卡和充值的通知,https://mp.weixin.qq.com/s/WYYXEKkERddSRd_zD4MhfQ,2021-10-17
锦城之道，助你领先——看锦城如何走 在教育改革前列,http://www.scujcc.edu.cn/info/1076/5870.htm,2021-10-17
【锦城大讲堂】汪洪亮教授带你走近近代学人李安宅,https://mp.weixin.qq.com/s/6kFcfm2hiOXaeimogyiyAA,2021-10-16
百名校友导学团在2021级新生入学教育上的报告节选（一）,http://www.scujcc.edu.cn/info/1076/5868.htm,2021-10-16
我校艺术学院3个团队在第三届四川省大学生乡村振兴创意设计大赛中斩获嘉奖,https://mp.weixin.qq.com/s/Gcslx7tkXF66r2qe_St7xg,2021-10-15
我校土木学院开展2022届学生就业指导讲座,https://mp.weixin.qq.com/s/qa5bq1uAqxXpGTCJ-Nn-Ew,2021-10-15
仅有致敬是不够的——范藻教授讲述对电影《长津湖》的美学反思,https://mp.weixin.qq.com/s/EZPE472zicJf3MLq13fG_w,2021-10-14
